"IDRSSD","CERT","CB","CHARTER_TYPE","SDI_BK_CLASS_DESC","SDI_REGAGNT_DESC","INST_NAME","INST_STATE","OCC_ID","OTS_ID","TOTAL_BNK_EQUITY_CAPITAL","TOTAL_ASSETS","TOTAL_ASSETS_RCON2170","OTHR_INTANGIBLES","GOODWILL","NET_DEF_TAX_ASST","TIER1LEVERAGE","STATE_DESC","ADJ_TOTAL_BNK_EQ_CAP","ADJ_TOTAL_ASSETS","SIMPLE_LEVERAGE_RATIO"
198251,10169,1,"State-Chartered","NM","FDIC","SHERBURNE STATE BANK","MN",0,0,8794,94099,93928,45,0,0,0.0942,"Minnesota",8749,94054,0.0930210304718565930210304718565930210305
40855,10980,1,"State-Chartered","NM","FDIC","EITZEN STATE BANK","MN",0,0,9464,92260,93373,0,200,0,0.1002,"Minnesota",9264,92060,0.1006300238974581794481859656745600695199
157650,23986,1,"State-Chartered","SM","FED","MINNESOTA LAKES BANK","MN",0,0,11735,87082,91915,1155,2057,0,0.1057,"Minnesota",8523,83870,0.1016215571718135209252414450935972338142
3090833,57336,1,"State-Chartered","NM","FDIC","DRAKE BANK","MN",0,0,10021,89954,91614,0,0,0,0.1116,"Minnesota",10021,89954,0.1114013829290526268981924094537207906263
868059,9773,1,"State-Chartered","NM","FDIC","SECURITY STATE BANK OF WARROAD","MN",0,0,17375,89617,91334,0,0,334,0.1942,"Minnesota",17041,89283,0.1908650022960698005219358668503522507084
923855,5197,1,"National Charter","N","OCC","FIRST NATIONAL BANK OF MENAHGA & SEBEKA","MN",11740,0,12481,89842,89421,0,745,0,0.1302,"Minnesota",11736,89097,0.1317216067881073436816054412606485066837
82659,10957,1,"State-Chartered","NM","FDIC","CITIZENS STATE BANK OF HAYFIELD","MN",0,0,6358,88912,89094,0,13,0,0.0711,"Minnesota",6345,88899,0.0713731313063139067931022846151250295279
1011656,10160,0,"National Charter","N","OCC","STEARNS BANK OF HOLDINGFORD, NATIONAL ASSOCIATION","MN",23457,0,13294,88965,88975,0,0,599,0.1493,"Minnesota",12695,88366,0.1436638526129959486680397437928615078197
283858,10198,1,"State-Chartered","NM","FDIC","STATE BANK OF DELANO","MN",0,0,5744,88462,88616,0,0,0,0.0668,"Minnesota",5744,88462,0.0649318351382514526011168637381022359883
706058,5214,1,"National Charter","N","OCC","FIRST NATIONAL BANK OF MOOSE LAKE, THE","MN",12947,0,11007,86357,88133,0,0,0,0.1265,"Minnesota",11007,86357,0.1274592679226930069363224753059971976794
276654,1600,1,"State-Chartered","NM","FDIC","FIRST FARMERS & MERCHANTS STATE BANK","MN",0,0,12280,87789,87494,0,304,0,0.1324,"Minnesota",11976,87485,0.1368920386351946047893924672801051608847
881656,8542,1,"State-Chartered","NM","FDIC","STATE BANK OF RICHMOND","MN",0,0,10137,87488,86991,248,0,0,0.1153,"Minnesota",9889,87240,0.1133539660706098120128381476386978450252
